"AORD.Open","AORD.High","AORD.Low","AORD.Close","AORD.Volume","AORD.Adjusted"
"2007-11-13",6521.5,6577,6503.8,6570.9,812164300,6570.9
"2007-11-14",6592.2,6660,6591,6650,843142300,6650
"2007-11-15",6643.8,6671.3,6594.4,6594.4,907446100,6594.4
"2007-11-16",6593.6,6593.6,6516.7,6526.1,732516200,6526.1
"2007-11-19",6537.6,6614.8,6537.6,6601.3,622323900,6601.3
"2007-11-20",6562.6,6562.6,6461.7,6490.2,819212200,6490.2
"2007-11-21",6502.1,6503,6425,6450.2,816074900,6450.2
"2007-11-22",6424.7,6424.7,6373.4,6395.1,816022500,6395.1
"2007-11-23",6397.5,6405.9,6375.2,6392.4,498191700,6392.4
"2007-11-26",6419.6,6542.6,6419.6,6533.2,699229600,6533.2
"2007-11-27",6502.7,6502.7,6416.8,6493.6,873809400,6493.6
"2007-11-28",6491.7,6495,6412.9,6432.8,856231700,6432.8
"2007-11-29",6458.9,6540.8,6458.8,6507.2,951554400,6507.2
"2007-11-30",6519.1,6608.2,6500.9,6593.6,1398314300,6593.6
"2007-12-03",6595.4,6625.4,6586.6,6597.2,708736100,6597.2
"2007-12-04",6583.2,6593.7,6560,6588.8,891332800,6588.8
"2007-12-05",6579.8,6579.8,6543.2,6568.4,781813500,6568.4
"2007-12-06",6591.1,6673.2,6590.8,6660.5,922022100,6660.5
"2007-12-07",6671,6727.8,6670.5,6714,739195400,6714
"2007-12-10",6718.1,6718.1,6673.5,6686.1,617195200,6686.1
"2007-12-11",6693.9,6741.4,6693.9,6738.1,825823900,6738.1
"2007-12-12",6714.5,6714.5,6642.2,6675.4,729232400,6675.4
"2007-12-13",6681.9,6704.4,6627.2,6661.1,731921700,6661.1
"2007-12-14",6652.1,6656,6534.5,6556.1,736005400,6556.1
"2007-12-17",6537,6538.4,6331.8,6331.8,1066419200,6331.8
"2007-12-18",6314.1,6314.1,6168.3,6292.6,1419272800,6292.6
"2007-12-19",6312,6327,6258.4,6280.8,1419077700,6280.8
"2007-12-20",6289.4,6301,6244.8,6244.8,1626705900,6244.8
"2007-12-21",6250.7,6344.7,6249.7,6309.4,1272881500,6309.4
"2007-12-24",6330.9,6402.2,6330.9,6388,335838800,6388
"2007-12-27",6401.6,6434.4,6401.2,6426.4,399789300,6426.4
"2007-12-28",6411.4,6423.7,6373.3,6423.7,401949000,6423.7
"2007-12-31",6426,6431.4,6396.9,6421,286191500,6421
"2008-01-02",6418.6,6462.8,6408.4,6434.1,365493500,6434.1
"2008-01-03",6422.7,6422.7,6335.8,6372.6,511702600,6372.6
"2008-01-04",6387.7,6421.2,6355,6385.4,627840800,6385.4
"2008-01-07",6357.8,6357.8,6227.7,6240.4,692737000,6240.4
"2008-01-08",6233.2,6259.7,6195.3,6205.7,772191800,6205.7
"2008-01-09",6193.4,6193.4,6111.1,6159.5,831426400,6159.5
"2008-01-10",6160.2,6176.3,6121.2,6147.3,945102900,6147.3
"2008-01-11",6154.6,6164.3,6054.4,6054.4,775853500,6054.4
"2008-01-14",6040.6,6073.3,5970.6,6040.9,780197800,6040.9
"2008-01-15",6041.6,6102.1,6005.7,6019.8,1087166200,6019.8
"2008-01-16",6003.6,6019.8,5848.3,5870.8,1154147000,5870.8
"2008-01-17",5877.9,5904.3,5847.9,5857,1015367300,5857
"2008-01-18",5803,5811.4,5680.7,5799.4,1053399000,5799.4
"2008-01-21",5789.3,5790.2,5630.9,5630.9,884125900,5630.9
"2008-01-22",5569.1,5569.1,5222,5222,1709112600,5222
"2008-01-23",5264.2,5567.6,5264.2,5445.6,1566250400,5445.6
"2008-01-24",5480.9,5605.8,5479.1,5605.8,1250673900,5605.8
"2008-01-25",5631.6,5886.3,5631.6,5886.3,1306141200,5886.3
"2008-01-29",5887.9,5887.9,5737.3,5754.5,1147654800,5754.5
"2008-01-30",5780.7,5871.4,5661,5665.3,953929700,5665.3
"2008-01-31",5656.6,5697,5507,5697,1110780800,5697
"2008-02-01",5717.2,5887.6,5714.2,5882.3,890030700,5882.3
"2008-02-04",5893.7,6057.8,5886.3,5921.7,865578100,5921.7
"2008-02-05",5921.2,5938.4,5845.2,5852.1,761764900,5852.1
"2008-02-06",5830.1,5830.5,5677.6,5677.6,889175500,5677.6
"2008-02-07",5675.8,5682,5585.8,5668.3,834276400,5668.3
"2008-02-08",5679,5767.2,5677.4,5723.9,652258100,5723.9
"2008-02-11",5728.2,5729.5,5584.4,5603.1,679031500,5603.1
"2008-02-12",5616.4,5679.1,5583.4,5669.4,885863400,5669.4
"2008-02-13",5680.1,5718.9,5615.3,5615.3,933966400,5615.3
"2008-02-14",5636.2,5752.4,5635.9,5748.2,1042708100,5748.2
"2008-02-15",5725.3,5725.3,5619.6,5679.8,859466700,5679.8
"2008-02-19",5655.9,5719.8,5655,5688.6,877851600,5688.6
"2008-02-20",5693.1,5701.3,5577.3,5577.3,911200300,5577.3
"2008-02-21",5597.4,5678.6,5583.8,5663,1008569600,5663
"2008-02-22",5655.7,5660.6,5578.9,5644.5,906304600,5644.5
"2008-02-25",5655.1,5718.5,5652.6,5699.8,782779400,5699.8
"2008-02-26",5706.2,5769.6,5705.7,5745.8,1078941200,5745.8
"2008-02-27",5760.5,5845.8,5760.5,5842.5,987247300,5842.5
"2008-02-28",5835.8,5835.8,5712.3,5746.1,1058419300,5746.1
"2008-02-29",5742.2,5743.2,5619.6,5674.7,1220863600,5674.7
"2008-03-03",5639.3,5640,5499.8,5510.7,905912000,5510.7
"2008-03-04",5515.1,5541.9,5451,5479.2,1140409200,5479.2
"2008-03-05",5488.8,5548.6,5443,5471.6,1440783800,5471.6
"2008-03-06",5491.7,5549.2,5469.1,5531.9,1141210000,5531.9
"2008-03-07",5511.3,5511.3,5345.8,5368.9,1065038000,5368.9
"2008-03-10",5344.1,5344.1,5245,5275.7,906337300,5275.7
"2008-03-11",5241.4,5242.8,5164.2,5211.1,1208745200,5211.1
"2008-03-12",5262.5,5441.9,5262.5,5334.1,1177996600,5334.1
"2008-03-13",5336.3,5339.4,5205.8,5215.7,884822000,5215.7
"2008-03-14",5234.9,5297.9,5234.4,5288.5,806249200,5288.5
"2008-03-17",5265,5265.5,5130.1,5173.2,852480600,5173.2
"2008-03-18",5158.8,5193.8,5145.1,5163.8,997191000,5163.8
"2008-03-19",5207.6,5349.2,5207.6,5349.2,1170510800,5349.2
"2008-03-20",5303.3,5307.5,5182.4,5182.4,2046957000,5182.4
"2008-03-25",5219.3,5384.3,5219.3,5355.7,1150994300,5355.7
"2008-03-26",5363.1,5431,5361.7,5421.3,970395600,5421.3
"2008-03-27",5413.6,5420.9,5385.3,5418.5,1008640500,5418.5
"2008-03-28",5418.5,5418.5,5332.6,5401.2,1387759600,5401.2
"2008-03-31",5396.3,5424.3,5370,5409.7,1014144700,5409.7
"2008-04-01",5416.1,5425,5359.3,5414.5,850156900,5414.5
"2008-04-02",5445,5567.4,5444.1,5544.9,1267228000,5544.9
"2008-04-03",5554,5645.8,5553.4,5645.8,1109769300,5645.8
"2008-04-04",5645.8,5697,5635.7,5663.7,13011400,5663.7
"2008-04-07",5683.7,5692.6,5661.4,5684.1,906250200,5684.1
"2008-04-08",5684.6,5691.3,5619.7,5634.4,1004179600,5634.4
"2008-04-09",5663.2,5670.2,5574.7,5583.5,771705000,5583.5
"2008-04-10",5576.7,5577.2,5505.3,5515.5,806596300,5515.5
"2008-04-11",5511.6,5522.1,5457.8,5505.2,810739600,5505.2
"2008-04-14",5478.1,5478.9,5380.5,5410.9,700308000,5410.9
"2008-04-15",5408.8,5484.1,5407.9,5465.9,793238700,5465.9
"2008-04-16",5488.1,5543.2,5487.3,5534.6,832474200,5534.6
"2008-04-17",5574.2,5630.5,5568,5587.3,919146000,5587.3
"2008-04-18",5575.7,5587.3,5471.5,5504.1,685937900,5504.1
"2008-04-21",5531.1,5666.4,5531.1,5664.2,854135800,5664.2
"2008-04-22",5661.5,5661.5,5594.1,5628.4,698299300,5628.4
"2008-04-23",5627.9,5712.1,5627.9,5711.4,933765300,5711.4
"2008-04-24",5698.5,5699.7,5625.3,5658.7,1017309000,5658.7
"2008-04-25",5658.7,5658.7,5658.7,5658.7,0,5658.7
"2008-04-28",5668.6,5735.8,5643.1,5670.3,814710900,5670.3
"2008-04-29",5678.6,5691.6,5645.5,5672.6,822181300,5672.6
"2008-04-30",5646.4,5678.5,5590.1,5657,1136975500,5657
"2008-05-01",5654.2,5655.4,5605.1,5652.7,859398100,5652.7
"2008-05-02",5668,5760.4,5665,5760.4,920524800,5760.4
"2008-05-05",5785.6,5815,5781.8,5797.7,760264500,5797.7
"2008-05-06",5801.4,5801.5,5754.6,5777.9,783621900,5777.9
"2008-05-07",5798.7,5824.1,5746,5757.8,1084815600,5757.8
"2008-05-08",5725.3,5811.6,5682.6,5800.9,1002615600,5800.9
"2008-05-09",5803.7,5882.8,5802.8,5844.4,836364700,5844.4
"2008-05-12",5846.5,5910.6,5846.5,5894.1,706525100,5894.1
"2008-05-13",5894.3,5908,5863.9,5883.2,860582600,5883.2
"2008-05-14",5892.3,5954.8,5881.9,5940.3,928006300,5940.3
"2008-05-15",5941.7,5985.5,5934.3,5964.9,1193855700,5964.9
"2008-05-16",5999,6040.8,5993.3,6006.1,907804200,6006.1
"2008-05-19",6022.8,6059.5,6019,6035,885151700,6035
"2008-05-20",6031.2,6031.9,5979.9,5994.9,845064000,5994.9
"2008-05-21",5959.9,5959.9,5903.4,5916.4,918368800,5916.4
"2008-05-22",5895,5954.1,5836.3,5920,1081787600,5920
"2008-05-23",5924.6,5933.3,5854.6,5866.2,1117929100,5866.2
"2008-05-26",5845.9,5848.1,5800.2,5807.5,784611200,5807.5
"2008-05-27",5807.4,5837.5,5807.4,5818.4,780307500,5818.4
"2008-05-28",5814.6,5824.2,5736.2,5754.5,1059445500,5754.5
"2008-05-29",5766.4,5822.5,5766,5817.2,1173575100,5817.2
"2008-05-30",5803.1,5803.1,5757.1,5773.9,1672287400,5773.9
"2008-06-02",5774,5800.5,5721.4,5781.2,880052000,5781.2
"2008-06-03",5785.6,5785.6,5698.5,5703,1041112500,5703
"2008-06-04",5699.4,5740,5675.7,5698.2,1070290900,5698.2
"2008-06-05",5685.5,5688,5620.4,5633.8,948337600,5633.8
"2008-06-06",5633.9,5721.4,5633.9,5691.2,1026732700,5691.2
"2008-06-10",5673.8,5673.8,5544.3,5544.3,1107316100,5544.3
"2008-06-11",5542.2,5562.2,5499.6,5561.9,1141075600,5561.9
"2008-06-12",5547.3,5547.3,5428.2,5433.2,1108704900,5433.2
"2008-06-13",5450,5479.6,5399,5479.6,1115374800,5479.6
"2008-06-16",5489.9,5508,5461.7,5476.3,844803900,5476.3
"2008-06-17",5487.5,5525.9,5420.7,5525.9,1150061100,5525.9
"2008-06-18",5522.7,5550.9,5491.6,5550.3,1267450100,5550.3
"2008-06-19",5540.6,5541,5484.3,5484.3,1691831800,5484.3
"2008-06-20",5484.4,5490.8,5399.2,5411.8,1439046000,5411.8
"2008-06-23",5391.5,5416.7,5337.1,5408.9,1111502800,5408.9
"2008-06-24",5411,5422.8,5373.6,5418.8,1151886700,5418.8
"2008-06-25",5397.8,5410.2,5342.1,5363.1,1217032300,5363.1
"2008-06-26",5369.1,5451.4,5368.5,5421.5,1362231900,5421.5
